--------------------------------------------------------------------------
WARNING: A deprecated command line option was used.

  Deprecated option:   N
  Corrected option:    --map-by ppr:1:node

We have updated this for you and will proceed. However, this will be treated
as an error in a future release. Please update your command line.
--------------------------------------------------------------------------

# size latency
16 2.377379
32 2.502294
64 2.661122
128 2.7734482
256 2.849747
512 3.0466056
1024 3.2821865
2048 3.8890302
4096 4.8653893
8192 6.163537
16384 9.25335
32768 16.96385
65536 25.660625
131072 42.98408
262144 77.51864
524288 148.81935
1048576 284.98636
