--------------------------------------------------------------------------
WARNING: A deprecated command line option was used.

  Deprecated option:   N
  Corrected option:    --map-by ppr:1:node

We have updated this for you and will proceed. However, this will be treated
as an error in a future release. Please update your command line.
--------------------------------------------------------------------------

# size latency
16 1.3598284
32 1.5185069
64 1.6636729
128 1.7119936
256 2.1434023
512 2.2906392
1024 2.4478886
2048 3.0707
4096 3.8871727
8192 4.36515
16384 5.980536
32768 8.404102
65536 11.540283
131072 17.4118
262144 25.239182
524288 44.82667
1048576 83.619774
