# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
         1              0.16 | 6.3468012e-06 ± 4.7208e-06    10000
         2              0.37 | 5.4614966e-06 ± 5.7539e-07    10000
         4              0.73 | 5.4904613e-06 ± 6.3124e-07    10000
         8              1.47 | 5.4478070e-06 ± 5.4361e-07    10000
        16              2.93 | 5.4622902e-06 ± 5.2097e-07    10000
        32              5.83 | 5.4925561e-06 ± 5.7952e-07    10000
        64             11.66 | 5.4882562e-06 ± 5.2488e-07    10000
       128             23.24 | 5.5072118e-06 ± 6.2694e-07    10000
       256             46.44 | 5.5130171e-06 ± 5.7046e-07    10000
       512             92.20 | 5.5529281e-06 ± 5.9178e-07    10000
      1024            175.71 | 5.8276206e-06 ± 1.4305e-05    10000
      2048            344.81 | 5.9394898e-06 ± 6.6752e-07    10000
      4096            650.44 | 6.2972976e-06 ± 7.9355e-07    10000
      8192           1209.87 | 6.7709908e-06 ± 8.4927e-07    10000
     16384           2105.42 | 7.7818035e-06 ± 9.1099e-07    10000
     32768           3371.08 | 9.7203300e-06 ± 1.1599e-06     1000
     65536           1571.41 | 4.1705186e-05 ± 2.1912e-06     1000
    131072           1675.90 | 7.8209930e-05 ± 4.1111e-06     1000
    262144           1712.68 | 1.5306109e-04 ± 6.5070e-06     1000
    524288           1723.33 | 3.0423035e-04 ± 8.8391e-06     1000
   1048576           1781.30 | 5.8865771e-04 ± 1.0392e-05     1000
   2097152           1789.07 | 1.1722017e-03 ± 1.9958e-05       10
   4194304           1770.89 | 2.3684667e-03 ± 3.0772e-05       10
   8388608           1764.49 | 4.7541272e-03 ± 3.9866e-05       10
  16777216           1776.69 | 9.4429709e-03 ± 3.7707e-05       10
  33554432           1807.02 | 1.8568918e-02 ± 1.5336e-04       10
  67108864           1798.52 | 3.7313418e-02 ± 2.4198e-04       10
 134217728           1807.60 | 7.4251855e-02 ± 5.6679e-04       10
 268435456           1801.04 | 1.4904459e-01 ± 1.1247e-03       10
 536870912           1809.61 | 2.9667803e-01 ± 1.7629e-03       10
1073741824           1795.20 | 5.9811784e-01 ± 4.4746e-03       10
writing flamegraph to "results/pingpong-profile/custom/flamegraph-1.svg"
writing flamegraph to "results/pingpong-profile/custom/flamegraph-0.svg"
profile dir: /home/jaket/.profiles/b4af2aed2e964e86a4bb23c0304e709b
