# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
    131072           6468.04 | 2.0264548e-05 ± 4.2502e-06     1000
    262144           8490.76 | 3.0874017e-05 ± 4.0777e-07     1000
    524288           9979.49 | 5.2536568e-05 ± 3.6887e-07     1000
   1048576          10923.75 | 9.5990474e-05 ± 3.2504e-07     1000
   2097152          11456.76 | 1.8304936e-04 ± 5.0225e-07       10
   4194304          11752.92 | 3.5687350e-04 ± 6.8552e-07       10
   8388608          11899.73 | 7.0494083e-04 ± 2.2777e-06       10
  16777216          11938.18 | 1.4053411e-03 ± 7.3059e-06       10
  33554432          11893.05 | 2.8213488e-03 ± 1.8608e-05       10
  67108864          11822.38 | 5.6764264e-03 ± 3.6778e-05       10
 134217728          11640.18 | 1.1530552e-02 ± 1.3501e-04       10
 268435456          11201.73 | 2.3963760e-02 ± 1.9004e-04       10
 536870912          10790.45 | 4.9754251e-02 ± 1.3018e-03       10
1073741824          10654.78 | 1.0077557e-01 ± 3.3564e-03       10
