# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
   1048576          10880.12 | 9.6375405e-05 ± 5.8418e-06     1000
   2097152          11444.65 | 1.8324304e-04 ± 8.4661e-07       10
   4194304          11752.50 | 3.5688611e-04 ± 7.6530e-07       10
   8388608          11896.23 | 7.0514850e-04 ± 2.3644e-06       10
  16777216          11942.97 | 1.4047771e-03 ± 4.4417e-06       10
  33554432          11915.39 | 2.8160594e-03 ± 1.9489e-05       10
  67108864          11819.11 | 5.6779969e-03 ± 3.8982e-05       10
 134217728          11656.62 | 1.1514291e-02 ± 8.1017e-05       10
 268435456          11163.19 | 2.4046493e-02 ± 1.8937e-04       10
 536870912          10788.95 | 4.9761198e-02 ± 1.3079e-03       10
1073741824          10651.93 | 1.0080259e-01 ± 3.3680e-03       10
