# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
   1048576           1135.25 | 9.2365506e-04 ± 8.4007e-05     1000
   2097152           2004.43 | 1.0462580e-03 ± 1.2337e-05       10
   4194304           1335.18 | 3.1413847e-03 ± 5.7302e-05       10
   8388608           1334.08 | 6.2879497e-03 ± 6.6804e-05       10
  16777216           1746.24 | 9.6076308e-03 ± 2.2864e-04       10
  33554432           1405.46 | 2.3874423e-02 ± 1.5890e-04       10
  67108864           1410.22 | 4.7587455e-02 ± 1.4667e-04       10
 134217728           1610.37 | 8.3345804e-02 ± 1.6332e-03       10
 268435456           1463.48 | 1.8342227e-01 ± 3.2260e-04       10
 536870912           1460.29 | 3.6764691e-01 ± 2.1415e-03       10
1073741824           1577.70 | 6.8057443e-01 ± 2.1967e-02       10
