# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
   1048576           7250.94 | 1.4461249e-04 ± 5.5272e-06     1000
   2097152           4172.11 | 5.0265974e-04 ± 1.6724e-05       10
   4194304           2882.53 | 1.4550755e-03 ± 2.8487e-05       10
   8388608           2981.13 | 2.8139067e-03 ± 5.6758e-05       10
  16777216           3004.65 | 5.5837579e-03 ± 1.2699e-04       10
  33554432           3016.24 | 1.1124588e-02 ± 1.8513e-04       10
  67108864           4558.51 | 1.4721674e-02 ± 4.0614e-04       10
 134217728           3826.06 | 3.5079862e-02 ± 8.5216e-03       10
 268435456           5695.81 | 4.7128612e-02 ± 5.6850e-02       10
 536870912           2902.99 | 1.8493704e-01 ± 1.2768e-03       10
1073741824           2612.60 | 4.1098569e-01 ± 9.0740e-04       10
