# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
   1048576           6270.40 | 1.6722640e-04 ± 5.6113e-06     1000
   2097152           3358.20 | 6.2448641e-04 ± 1.6395e-05       10
   4194304           4149.21 | 1.0108678e-03 ± 1.6959e-04       10
   8388608           2862.94 | 2.9300702e-03 ± 1.9089e-05       10
  16777216           2887.03 | 5.8112438e-03 ± 7.3557e-05       10
  33554432           2944.30 | 1.1396409e-02 ± 1.4818e-04       10
  67108864           3000.67 | 2.2364641e-02 ± 4.8399e-05       10
 134217728           3018.06 | 4.4471568e-02 ± 1.9197e-04       10
 268435456           3029.71 | 8.8601061e-02 ± 2.2941e-04       10
 536870912           3033.34 | 1.7699031e-01 ± 1.5524e-04       10
1073741824           3629.17 | 2.9586423e-01 ± 4.2336e-02       10
