# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
    262144           3308.47 | 7.9234253e-05 ± 2.5628e-06     1000
    524288           4369.68 | 1.1998328e-04 ± 2.7460e-06     1000
   1048576           5264.23 | 1.9918902e-04 ± 3.4841e-06     1000
   2097152           2090.25 | 1.0033027e-03 ± 2.4483e-05       10
   4194304           2179.59 | 1.9243520e-03 ± 4.4858e-05       10
   8388608           2226.45 | 3.7677040e-03 ± 8.6129e-05       10
  16777216           2238.05 | 7.4963619e-03 ± 1.4554e-04       10
  33554432           2117.68 | 1.5844918e-02 ± 8.1086e-04       10
  67108864           2623.60 | 2.5578955e-02 ± 1.6577e-02       10
 134217728           3287.30 | 4.0829147e-02 ± 1.8693e-03       10
 268435456           1791.24 | 1.4986020e-01 ± 3.2878e-01       10
 536870912           6453.07 | 8.3196229e-02 ± 3.7303e-04       10
1073741824           5375.94 | 1.9973109e-01 ± 9.2882e-02       10
