# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
   2097152           1587.98 | 1.3206406e-03 ± 3.2618e-05       10
   4194304           1569.27 | 2.6727810e-03 ± 5.2671e-05       10
   8388608           1259.54 | 6.6600757e-03 ± 1.2718e-04       10
  16777216           1362.03 | 1.2317811e-02 ± 2.1285e-04       10
  33554432           1667.94 | 2.0117254e-02 ± 1.9175e-04       10
  67108864           1671.65 | 4.0145239e-02 ± 7.8828e-04       10
 134217728           1702.43 | 7.8839073e-02 ± 1.5269e-04       10
 268435456           1733.14 | 1.5488397e-01 ± 3.1200e-04       10
 536870912           1729.77 | 3.1037081e-01 ± 2.2793e-03       10
1073741824           1738.71 | 6.1755100e-01 ± 7.2615e-04       10
