# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
   2097152           9417.14 | 2.2269532e-04 ± 1.8311e-05       10
   4194304           9594.87 | 4.3714030e-04 ± 5.1334e-05       10
   8388608           6612.31 | 1.2686352e-03 ± 2.8115e-05       10
  16777216           6476.22 | 2.5905877e-03 ± 1.4364e-05       10
  33554432           6634.07 | 5.0578968e-03 ± 1.3890e-05       10
  67108864           6707.39 | 1.0005218e-02 ± 2.0481e-05       10
 134217728           6760.17 | 1.9854194e-02 ± 7.8889e-05       10
 268435456           6774.92 | 3.9621960e-02 ± 1.0965e-04       10
 536870912           6796.89 | 7.8987729e-02 ± 1.2090e-04       10
1073741824           6803.45 | 1.5782310e-01 ± 1.6171e-04       10
