# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
   2097152           6851.56 | 3.0608366e-04 ± 1.0551e-04       10
   4194304           3375.72 | 1.2424921e-03 ± 1.8929e-05       10
   8388608           4120.84 | 2.0356560e-03 ± 1.7754e-05       10
  16777216           2963.47 | 5.6613359e-03 ± 5.1343e-05       10
  33554432           3015.78 | 1.1126302e-02 ± 6.8487e-05       10
  67108864           3050.90 | 2.1996408e-02 ± 8.3765e-05       10
 134217728           3062.37 | 4.3828117e-02 ± 2.9430e-04       10
 268435456           4069.50 | 6.5962780e-02 ± 3.3851e-03       10
 536870912           3071.20 | 1.7480793e-01 ± 4.9038e-04       10
1073741824           3078.44 | 3.4879402e-01 ± 5.6883e-04       10
