# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
   2097152           6637.60 | 3.1595025e-04 ± 1.0800e-04       10
   4194304           4295.22 | 9.7650533e-04 ± 7.6197e-05       10
   8388608           2904.69 | 2.8879558e-03 ± 1.8239e-05       10
  16777216           2936.14 | 5.7140310e-03 ± 6.4454e-05       10
  33554432           3005.88 | 1.1162949e-02 ± 7.8660e-05       10
  67108864           3057.63 | 2.1948017e-02 ± 1.1333e-04       10
 134217728           3086.01 | 4.3492311e-02 ± 1.9596e-04       10
 268435456           3090.97 | 8.6844920e-02 ± 2.8485e-04       10
 536870912           3093.05 | 1.7357308e-01 ± 7.3866e-04       10
1073741824           3106.40 | 3.4565503e-01 ± 1.0236e-03       10
