# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
    524288           3920.93 | 1.3371518e-04 ± 4.2478e-06     1000
   1048576           1029.77 | 1.0182641e-03 ± 2.2097e-05     1000
   2097152           2064.35 | 1.0158921e-03 ± 1.3840e-05       10
   4194304           1313.50 | 3.1932355e-03 ± 2.1115e-05       10
   8388608           1566.64 | 5.3545355e-03 ± 7.8582e-05       10
  16777216           1465.36 | 1.1449246e-02 ± 2.8467e-04       10
  33554432           1383.82 | 2.4247615e-02 ± 1.5190e-04       10
  67108864           1570.96 | 4.2718387e-02 ± 2.9199e-04       10
 134217728           1419.51 | 9.4551960e-02 ± 1.1551e-03       10
 268435456           1442.53 | 1.8608658e-01 ± 3.9548e-04       10
 536870912           1552.87 | 3.4572854e-01 ± 3.2437e-03       10
1073741824           1523.93 | 7.0458756e-01 ± 6.0679e-03       10
