# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
    524288           4545.66 | 1.1533824e-04 ± 4.0017e-06     1000
   1048576           5983.27 | 1.7525134e-04 ± 2.3291e-05     1000
   2097152           3280.29 | 6.3931956e-04 ± 1.3772e-05       10
   4194304           3034.06 | 1.3824059e-03 ± 2.6985e-05       10
   8388608           3081.55 | 2.7222043e-03 ± 3.5899e-04       10
  16777216           2796.54 | 5.9992782e-03 ± 7.3021e-05       10
  33554432           2893.27 | 1.1597408e-02 ± 4.2791e-05       10
  67108864           2936.12 | 2.2856315e-02 ± 6.0480e-05       10
 134217728           2949.68 | 4.5502420e-02 ± 2.0114e-04       10
 268435456           2969.69 | 9.0391798e-02 ± 2.3008e-04       10
 536870912           2960.52 | 1.8134367e-01 ± 1.7323e-03       10
1073741824           2975.45 | 3.6086720e-01 ± 1.0487e-03       10
