# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
         1              0.33 | 2.9989680e-06 ± 1.7668e-07    10000
         2              0.67 | 2.9981570e-06 ± 1.4925e-07    10000
         4              1.34 | 2.9834043e-06 ± 1.3716e-07    10000
         8              2.67 | 2.9964112e-06 ± 4.3875e-07    10000
        16              5.34 | 2.9940668e-06 ± 1.5128e-07    10000
        32             10.33 | 3.0990252e-06 ± 1.5789e-07    10000
        64             19.67 | 3.2534285e-06 ± 1.4355e-07    10000
       128             37.90 | 3.3776018e-06 ± 4.5724e-06    10000
       256             67.36 | 3.8002894e-06 ± 5.6103e-06    10000
       512            132.72 | 3.8577759e-06 ± 1.5329e-07    10000
      1024            252.11 | 4.0616421e-06 ± 1.6730e-07    10000
      2048            424.66 | 4.8226434e-06 ± 1.7071e-07    10000
      4096            747.46 | 5.4798623e-06 ± 2.5960e-07    10000
      8192           1305.45 | 6.2752395e-06 ± 2.3686e-07    10000
     16384           2123.54 | 7.7154289e-06 ± 1.5521e-06    10000
     32768           3044.91 | 1.0761579e-05 ± 4.8478e-07     1000
     65536           4714.43 | 1.3901164e-05 ± 4.3637e-07     1000
    131072           7164.90 | 1.8293635e-05 ± 4.6157e-06     1000
    262144           9691.98 | 2.7047506e-05 ± 3.5740e-07     1000
    524288          11424.88 | 4.5890013e-05 ± 3.9718e-07     1000
   1048576          12505.96 | 8.3846120e-05 ± 4.4945e-07     1000
   2097152          13270.95 | 1.5802576e-04 ± 1.0098e-06       10
   4194304          13658.30 | 3.0708821e-04 ± 1.0270e-06       10
   8388608          13845.26 | 6.0588288e-04 ± 7.4862e-07       10
  16777216          13921.83 | 1.2051011e-03 ± 5.4448e-06       10
  33554432          13945.03 | 2.4061928e-03 ± 1.1006e-05       10
  67108864          13942.66 | 4.8132045e-03 ± 1.9034e-05       10
 134217728          13892.77 | 9.6609757e-03 ± 3.6227e-05       10
 268435456          13728.28 | 1.9553465e-02 ± 7.5687e-05       10
 536870912          13576.53 | 3.9544041e-02 ± 1.9068e-04       10
1073741824          13502.29 | 7.9522969e-02 ± 6.0793e-04       10
