# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
   1048576           1013.64 | 1.0344633e-03 ± 1.9081e-05     1000
   2097152           1171.41 | 1.7902800e-03 ± 3.2865e-05       10
   4194304           1285.61 | 3.2625100e-03 ± 4.1735e-05       10
   8388608           1298.27 | 6.4613947e-03 ± 6.6183e-05       10
  16777216           1669.32 | 1.0050339e-02 ± 1.9771e-04       10
  33554432           1376.14 | 2.4383076e-02 ± 1.9457e-04       10
  67108864           1385.14 | 4.8449095e-02 ± 2.8100e-04       10
 134217728           1559.06 | 8.6088899e-02 ± 2.8104e-04       10
 268435456           1556.24 | 1.7248954e-01 ± 3.1086e-04       10
 536870912           1446.06 | 3.7126531e-01 ± 9.0916e-04       10
1073741824           1430.38 | 7.5067053e-01 ± 1.0532e-02       10
