# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
   1048576           7237.31 | 1.4488478e-04 ± 5.0510e-06     1000
   2097152           2812.11 | 7.4575684e-04 ± 1.3928e-05       10
   4194304           2918.73 | 1.4370314e-03 ± 3.4873e-05       10
   8388608           2968.85 | 2.8255390e-03 ± 6.0712e-05       10
  16777216           2994.46 | 5.6027449e-03 ± 1.2065e-04       10
  33554432           3008.97 | 1.1151479e-02 ± 1.7842e-04       10
  67108864           2982.12 | 2.2503749e-02 ± 4.3770e-04       10
 134217728           2683.35 | 5.0018631e-02 ± 2.3905e-03       10
 268435456           5310.80 | 5.0545225e-02 ± 5.8633e-02       10
 536870912           8587.27 | 6.2519359e-02 ± 8.0169e-03       10
1073741824           8604.44 | 1.2478927e-01 ± 2.2835e-02       10
