# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
         1              0.02 | 5.3984519e-05 ± 5.4811e-06    10000
         2              0.04 | 5.3968933e-05 ± 3.5643e-06    10000
         4              0.07 | 5.3997707e-05 ± 3.8822e-06    10000
         8              0.15 | 5.3990493e-05 ± 3.2187e-06    10000
        16              0.30 | 5.4048235e-05 ± 3.9431e-06    10000
        32              0.59 | 5.3870331e-05 ± 3.3555e-06    10000
        64              1.18 | 5.4024658e-05 ± 3.9150e-06    10000
       128              2.38 | 5.3791221e-05 ± 3.3086e-06    10000
       256              4.75 | 5.3862450e-05 ± 4.5608e-06    10000
       512              9.47 | 5.4091410e-05 ± 3.3048e-06    10000
      1024             18.82 | 5.4422405e-05 ± 3.4777e-06    10000
      2048             37.48 | 5.4644438e-05 ± 4.3532e-06    10000
      4096             73.57 | 5.5677205e-05 ± 3.8222e-06    10000
      8192            144.09 | 5.6853970e-05 ± 3.8254e-06    10000
     16384            247.22 | 6.6274031e-05 ± 4.0366e-06    10000
     32768            360.28 | 9.0952595e-05 ± 5.1026e-06     1000
     65536            521.38 | 1.2569718e-04 ± 6.2294e-06     1000
    131072            684.70 | 1.9143064e-04 ± 7.2482e-06     1000
    262144            811.38 | 3.2308506e-04 ± 1.5699e-05     1000
    524288            902.11 | 5.8117869e-04 ± 1.0581e-05     1000
   1048576            948.79 | 1.1051744e-03 ± 1.5648e-05     1000
   2097152            804.24 | 2.6076355e-03 ± 1.5175e-04       10
   4194304            946.90 | 4.4295144e-03 ± 3.2672e-05       10
   8388608            841.36 | 9.9703030e-03 ± 1.5886e-03       10
  16777216            885.32 | 1.8950451e-02 ± 3.4670e-04       10
  33554432            849.86 | 3.9482282e-02 ± 1.8712e-03       10
  67108864            835.52 | 8.0320296e-02 ± 3.7207e-03       10
 134217728            836.78 | 1.6039806e-01 ± 1.0415e-03       10
 268435456            800.84 | 3.3519328e-01 ± 2.9679e-03       10
 536870912            764.93 | 7.0185249e-01 ± 9.5287e-03       10
1073741824            721.36 | 1.4885017e+00 ± 1.1447e-02       10
