# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
         1              0.05 | 1.9605377e-05 ± 1.4877e-06    10000
         2              0.10 | 1.9466838e-05 ± 1.3691e-06    10000
         4              0.20 | 1.9521597e-05 ± 4.5828e-06    10000
         8              0.41 | 1.9428398e-05 ± 1.3567e-06    10000
        16              0.82 | 1.9469517e-05 ± 1.3818e-06    10000
        32              1.65 | 1.9418407e-05 ± 1.3944e-06    10000
        64              3.27 | 1.9587611e-05 ± 2.5416e-06    10000
       128              6.45 | 1.9838031e-05 ± 1.3010e-06    10000
       256             12.83 | 1.9953938e-05 ± 1.3741e-06    10000
       512             25.35 | 2.0196293e-05 ± 1.4178e-06    10000
      1024             49.82 | 2.0554532e-05 ± 1.4273e-06    10000
      2048             95.61 | 2.1419378e-05 ± 1.4355e-06    10000
      4096            182.02 | 2.2503239e-05 ± 2.7530e-06    10000
      8192            334.99 | 2.4454640e-05 ± 1.5740e-06    10000
     16384            623.85 | 2.6262745e-05 ± 1.6507e-06    10000
     32768           1131.37 | 2.8963126e-05 ± 1.6412e-06     1000
     65536           1872.00 | 3.5008466e-05 ± 1.7762e-06     1000
    131072           2837.78 | 4.6188247e-05 ± 3.6536e-06     1000
    262144           3750.73 | 6.9891451e-05 ± 2.1901e-06     1000
    524288           4669.17 | 1.1228716e-04 ± 2.9595e-06     1000
   1048576           1072.60 | 9.7759911e-04 ± 1.2019e-05     1000
   2097152           1141.69 | 1.8368810e-03 ± 1.7260e-05       10
   4194304           1557.96 | 2.6921751e-03 ± 3.3710e-05       10
   8388608           1711.18 | 4.9022436e-03 ± 1.7759e-05       10
  16777216           1771.63 | 9.4699086e-03 ± 2.1066e-05       10
  33554432           1868.39 | 1.7959014e-02 ± 3.8655e-05       10
  67108864           1927.40 | 3.4818324e-02 ± 6.5711e-05       10
 134217728           1974.32 | 6.7981881e-02 ± 7.9483e-05       10
 268435456           1979.22 | 1.3562658e-01 ± 4.7386e-04       10
 536870912           1951.92 | 2.7504829e-01 ± 2.8729e-04       10
1073741824           1969.83 | 5.4509385e-01 ± 2.9743e-03       10
