# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
         1              0.03 | 3.6807235e-05 ± 2.6759e-06    10000
         2              0.05 | 3.6625226e-05 ± 5.1959e-06    10000
         4              0.11 | 3.6521446e-05 ± 2.5704e-06    10000
         8              0.22 | 3.6761699e-05 ± 3.2408e-06    10000
        16              0.44 | 3.6632636e-05 ± 2.5521e-06    10000
        32              0.87 | 3.6581932e-05 ± 2.6369e-06    10000
        64              1.76 | 3.6324339e-05 ± 2.5302e-06    10000
       128              3.47 | 3.6912226e-05 ± 3.3204e-06    10000
       256              6.97 | 3.6720390e-05 ± 2.5634e-06    10000
       512             13.81 | 3.7083476e-05 ± 2.5866e-06    10000
      1024             27.36 | 3.7427569e-05 ± 2.6166e-06    10000
      2048             54.24 | 3.7760268e-05 ± 3.6813e-06    10000
      4096            106.65 | 3.8407494e-05 ± 2.7278e-06    10000
      8192            205.97 | 3.9772038e-05 ± 2.7377e-06    10000
     16384            396.19 | 4.1354160e-05 ± 2.7639e-06    10000
     32768            743.16 | 4.4092826e-05 ± 2.6881e-06     1000
     65536           1316.35 | 4.9786181e-05 ± 3.1055e-06     1000
    131072           2113.68 | 6.2011161e-05 ± 3.4555e-06     1000
    262144           3938.52 | 6.6559021e-05 ± 3.9517e-06     1000
    524288           6073.86 | 8.6318747e-05 ± 2.4834e-06     1000
   1048576           8361.19 | 1.2540997e-04 ± 2.7691e-06     1000
   2097152           8340.53 | 2.5144095e-04 ± 1.5163e-04       10
   4194304           9953.06 | 4.2140865e-04 ± 1.9255e-04       10
   8388608          10877.42 | 7.7119475e-04 ± 3.0301e-04       10
  16777216          11419.57 | 1.4691632e-03 ± 5.2837e-04       10
  33554432           5010.59 | 6.6967013e-03 ± 4.4878e-05       10
  67108864           5194.69 | 1.2918739e-02 ± 1.1948e-04       10
 134217728           5304.33 | 2.5303439e-02 ± 2.9842e-04       10
 268435456           5301.53 | 5.0633624e-02 ± 5.9193e-04       10
 536870912           4789.97 | 1.1208223e-01 ± 3.1553e-03       10
1073741824           4905.87 | 2.1886900e-01 ± 5.2016e-03       10
