# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
         1              0.35 | 2.8319404e-06 ± 2.3614e-07    10000
         2              0.71 | 2.8317318e-06 ± 1.9026e-07    10000
         4              1.42 | 2.8250890e-06 ± 1.7825e-07    10000
         8              2.82 | 2.8319940e-06 ± 1.7219e-07    10000
        16              5.66 | 2.8270733e-06 ± 1.6644e-07    10000
        32             11.06 | 2.8938536e-06 ± 1.8154e-07    10000
        64             20.95 | 3.0547374e-06 ± 2.1736e-07    10000
       128             41.25 | 3.1032579e-06 ± 1.7417e-07    10000
       256             69.44 | 3.6863890e-06 ± 7.3727e-06    10000
       512            140.13 | 3.6538329e-06 ± 1.8495e-07    10000
      1024            264.50 | 3.8715137e-06 ± 1.9813e-07    10000
      2048            442.74 | 4.6257656e-06 ± 2.3099e-07    10000
      4096            790.60 | 5.1808997e-06 ± 2.9923e-07    10000
      8192           1443.73 | 5.6741725e-06 ± 2.8760e-07    10000
     16384           2238.16 | 7.3203088e-06 ± 3.5439e-07    10000
     32768           3364.95 | 9.7380393e-06 ± 4.2406e-07     1000
     65536           5081.32 | 1.2897449e-05 ± 3.0836e-06     1000
    131072           7546.44 | 1.7368717e-05 ± 3.8549e-07     1000
    262144           9613.81 | 2.7267447e-05 ± 3.4947e-07     1000
    524288          11061.65 | 4.7396923e-05 ± 4.7000e-07     1000
   1048576          12133.63 | 8.6418970e-05 ± 4.9245e-07     1000
   2097152          13082.25 | 1.6030516e-04 ± 7.5913e-07       10
   4194304          13437.77 | 3.1212791e-04 ± 1.1555e-06       10
   8388608          13657.42 | 6.1421638e-04 ± 2.2406e-06       10
  16777216          13730.26 | 1.2219157e-03 ± 9.9123e-06       10
  33554432          13706.68 | 2.4480344e-03 ± 3.4589e-05       10
  67108864          13726.02 | 4.8891713e-03 ± 6.9762e-05       10
 134217728          13763.30 | 9.7518575e-03 ± 1.1978e-04       10
 268435456          13272.11 | 2.0225536e-02 ± 1.6330e-04       10
 536870912          12869.46 | 4.1716670e-02 ± 3.3042e-05       10
1073741824          12820.51 | 8.3751908e-02 ± 4.2024e-05       10
