# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
         1              0.04 | 2.5750536e-05 ± 1.8756e-06    10000
         2              0.08 | 2.5656167e-05 ± 1.8432e-06    10000
         4              0.16 | 2.5656157e-05 ± 1.8458e-06    10000
         8              0.31 | 2.5916582e-05 ± 4.9356e-06    10000
        16              0.62 | 2.5751739e-05 ± 1.8429e-06    10000
        32              1.24 | 2.5825110e-05 ± 1.8821e-06    10000
        64              2.46 | 2.5981267e-05 ± 2.6011e-06    10000
       128              4.83 | 2.6482285e-05 ± 1.8769e-06    10000
       256              9.64 | 2.6545031e-05 ± 1.8600e-06    10000
       512             19.16 | 2.6729022e-05 ± 1.8444e-06    10000
      1024             37.66 | 2.7194022e-05 ± 1.8649e-06    10000
      2048             70.28 | 2.9138950e-05 ± 3.8488e-06    10000
      4096            136.91 | 2.9917216e-05 ± 2.8936e-06    10000
      8192            260.00 | 3.1507906e-05 ± 2.7484e-06    10000
     16384            496.49 | 3.2999579e-05 ± 2.3036e-06    10000
     32768            839.68 | 3.9024522e-05 ± 2.2524e-06     1000
     65536           1468.72 | 4.4621314e-05 ± 2.2512e-06     1000
    131072           2366.42 | 5.5388353e-05 ± 2.5981e-06     1000
    262144           3368.34 | 7.7825960e-05 ± 4.4528e-06     1000
    524288           4383.56 | 1.1960328e-04 ± 2.7895e-06     1000
   1048576           1048.31 | 1.0002529e-03 ± 1.2279e-05     1000
   2097152           1278.67 | 1.6401014e-03 ± 1.2180e-05       10
   4194304           1347.87 | 3.1118086e-03 ± 3.5549e-05       10
   8388608           1558.68 | 5.3818605e-03 ± 2.1705e-05       10
  16777216           1621.04 | 1.0349659e-02 ± 2.6251e-05       10
  33554432           1786.75 | 1.8779597e-02 ± 1.9431e-05       10
  67108864           1880.42 | 3.5688276e-02 ± 4.1794e-05       10
 134217728           1939.97 | 6.9185604e-02 ± 1.3932e-04       10
 268435456           1961.62 | 1.3684347e-01 ± 1.2628e-04       10
 536870912           1947.12 | 2.7572515e-01 ± 4.5187e-04       10
1073741824           1962.30 | 5.4718593e-01 ± 4.9533e-03       10
