# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
         1              0.02 | 4.3401138e-05 ± 3.2944e-06    10000
         2              0.05 | 4.3341821e-05 ± 5.6224e-06    10000
         4              0.09 | 4.3462937e-05 ± 2.8813e-06    10000
         8              0.18 | 4.3440426e-05 ± 3.0412e-06    10000
        16              0.37 | 4.3243121e-05 ± 3.9430e-06    10000
        32              0.74 | 4.3221924e-05 ± 2.8647e-06    10000
        64              1.48 | 4.3336557e-05 ± 3.6913e-06    10000
       128              2.96 | 4.3255570e-05 ± 3.1732e-06    10000
       256              5.90 | 4.3361724e-05 ± 2.9307e-06    10000
       512             11.73 | 4.3637350e-05 ± 3.0971e-06    10000
      1024             23.31 | 4.3933763e-05 ± 3.9392e-06    10000
      2048             46.38 | 4.4161657e-05 ± 2.9879e-06    10000
      4096             91.01 | 4.5006796e-05 ± 3.3990e-06    10000
      8192            178.18 | 4.5975501e-05 ± 3.4569e-06    10000
     16384            350.16 | 4.6790122e-05 ± 3.2990e-06    10000
     32768            593.40 | 5.5220867e-05 ± 3.1281e-06     1000
     65536           1106.23 | 5.9242910e-05 ± 1.0679e-05     1000
    131072           1963.43 | 6.6756775e-05 ± 3.0195e-06     1000
    262144           3247.98 | 8.0709948e-05 ± 5.1130e-06     1000
    524288           4809.20 | 1.0901762e-04 ± 3.1338e-06     1000
   1048576           6332.24 | 1.6559331e-04 ± 3.7562e-06     1000
   2097152           6519.20 | 3.2168834e-04 ± 9.9348e-05       10
   4194304           4067.62 | 1.0311448e-03 ± 8.5433e-05       10
   8388608           4029.50 | 2.0817975e-03 ± 1.2548e-04       10
  16777216           4620.27 | 3.6312208e-03 ± 2.2679e-04       10
  33554432           4226.36 | 7.9393159e-03 ± 1.9752e-05       10
  67108864           4403.75 | 1.5239020e-02 ± 2.3519e-05       10
 134217728           4499.30 | 2.9830800e-02 ± 2.3560e-05       10
 268435456           4558.23 | 5.8890245e-02 ± 1.9240e-05       10
 536870912           4574.87 | 1.1735205e-01 ± 7.7336e-05       10
1073741824           4590.77 | 2.3389135e-01 ± 6.9076e-05       10
