# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
         1              0.33 | 3.0209398e-06 ± 1.4291e-07    10000
         2              0.66 | 3.0185086e-06 ± 1.2974e-07    10000
         4              1.33 | 3.0169711e-06 ± 1.3046e-07    10000
         8              2.65 | 3.0209630e-06 ± 1.2342e-07    10000
        16              5.28 | 3.0274485e-06 ± 3.6185e-07    10000
        32             10.23 | 3.1269737e-06 ± 2.2798e-07    10000
        64             19.48 | 3.2859579e-06 ± 1.2417e-07    10000
       128             37.72 | 3.3936703e-06 ± 4.4019e-06    10000
       256             67.73 | 3.7794440e-06 ± 1.3657e-07    10000
       512            129.68 | 3.9480957e-06 ± 5.5930e-06    10000
      1024            250.43 | 4.0889071e-06 ± 1.3525e-07    10000
      2048            423.43 | 4.8367081e-06 ± 1.5742e-07    10000
      4096            743.69 | 5.5076729e-06 ± 2.5156e-07    10000
      8192           1289.57 | 6.3524852e-06 ± 1.9614e-07    10000
     16384           2110.55 | 7.7628982e-06 ± 1.2319e-06    10000
     32768           3172.56 | 1.0328570e-05 ± 4.3523e-07     1000
     65536           4918.81 | 1.3323546e-05 ± 3.4140e-07     1000
    131072           7090.99 | 1.8484298e-05 ± 4.4034e-06     1000
    262144           9567.71 | 2.7398828e-05 ± 4.9509e-07     1000
    524288          11209.52 | 4.6771663e-05 ± 4.4000e-07     1000
   1048576          12269.12 | 8.5464653e-05 ± 4.0312e-07     1000
   2097152          13289.82 | 1.5780135e-04 ± 6.8459e-07       10
   4194304          13656.86 | 3.0712076e-04 ± 6.6995e-07       10
   8388608          13849.29 | 6.0570656e-04 ± 9.4611e-07       10
  16777216          13917.25 | 1.2054976e-03 ± 6.8404e-06       10
  33554432          13963.98 | 2.4029277e-03 ± 7.9970e-06       10
  67108864          13932.56 | 4.8166936e-03 ± 1.8115e-05       10
 134217728          13863.40 | 9.6814405e-03 ± 2.8607e-05       10
 268435456          13748.94 | 1.9524078e-02 ± 6.9406e-05       10
 536870912          13583.65 | 3.9523326e-02 ± 2.5089e-04       10
1073741824          13486.53 | 7.9615871e-02 ± 5.5534e-04       10
