# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
         1              0.04 | 2.6338250e-05 ± 1.3167e-06    10000
         2              0.08 | 2.6299430e-05 ± 4.0681e-06    10000
         4              0.15 | 2.6327469e-05 ± 1.2891e-06    10000
         8              0.30 | 2.6341467e-05 ± 1.8557e-06    10000
        16              0.61 | 2.6354933e-05 ± 1.8169e-06    10000
        32              1.22 | 2.6296674e-05 ± 1.7027e-06    10000
        64              2.42 | 2.6450091e-05 ± 1.3127e-06    10000
       128              4.76 | 2.6916523e-05 ± 1.3324e-06    10000
       256              9.43 | 2.7160397e-05 ± 1.8412e-06    10000
       512             18.76 | 2.7293834e-05 ± 1.8872e-06    10000
      1024             36.80 | 2.7825090e-05 ± 4.0223e-06    10000
      2048             69.30 | 2.9551642e-05 ± 3.5507e-06    10000
      4096            134.90 | 3.0363297e-05 ± 2.5616e-06    10000
      8192            256.05 | 3.1993387e-05 ± 1.9909e-06    10000
     16384            488.83 | 3.3516905e-05 ± 2.9778e-06    10000
     32768            907.37 | 3.6112976e-05 ± 1.3886e-06     1000
     65536           1586.45 | 4.1309912e-05 ± 1.6524e-06     1000
    131072           2327.94 | 5.6303838e-05 ± 1.9110e-06     1000
    262144           3404.30 | 7.7003826e-05 ± 2.2075e-06     1000
    524288           4471.70 | 1.1724574e-04 ± 2.3089e-06     1000
   1048576           1040.87 | 1.0074043e-03 ± 1.2940e-05     1000
   2097152           1332.70 | 1.5736147e-03 ± 1.6973e-05       10
   4194304           1957.73 | 2.1424277e-03 ± 3.5474e-05       10
   8388608           1871.43 | 4.4824475e-03 ± 1.9526e-05       10
  16777216           1758.25 | 9.5420143e-03 ± 8.5479e-05       10
  33554432           1820.96 | 1.8426804e-02 ± 1.0600e-04       10
  67108864           1894.87 | 3.5416130e-02 ± 9.2389e-05       10
 134217728           1938.68 | 6.9231550e-02 ± 3.0596e-04       10
 268435456           1956.77 | 1.3718316e-01 ± 1.6611e-04       10
 536870912           1908.86 | 2.8125163e-01 ± 9.4055e-04       10
1073741824           1933.80 | 5.5524857e-01 ± 7.2462e-03       10
