# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
         1              0.03 | 3.6194558e-05 ± 1.7419e-06    10000
         2              0.06 | 3.6185383e-05 ± 4.9047e-06    10000
         4              0.11 | 3.6041304e-05 ± 2.0615e-06    10000
         8              0.22 | 3.6120764e-05 ± 2.1456e-06    10000
        16              0.44 | 3.6116450e-05 ± 1.7267e-06    10000
        32              0.89 | 3.6131131e-05 ± 1.7521e-06    10000
        64              1.76 | 3.6293654e-05 ± 2.4242e-06    10000
       128              3.52 | 3.6382485e-05 ± 1.7667e-06    10000
       256              7.01 | 3.6531583e-05 ± 1.7814e-06    10000
       512             13.91 | 3.6807988e-05 ± 1.7639e-06    10000
      1024             27.80 | 3.6839931e-05 ± 1.8110e-06    10000
      2048             54.26 | 3.7745859e-05 ± 2.5858e-06    10000
      4096            108.07 | 3.7900235e-05 ± 2.7931e-06    10000
      8192            215.36 | 3.8038304e-05 ± 1.8331e-06    10000
     16384            414.45 | 3.9531661e-05 ± 1.8849e-06    10000
     32768            786.84 | 4.1645013e-05 ± 2.0074e-06     1000
     65536           1469.45 | 4.4598991e-05 ± 2.0671e-06     1000
    131072           2349.02 | 5.5798508e-05 ± 2.1584e-06     1000
    262144           4041.27 | 6.4866738e-05 ± 1.8594e-06     1000
    524288           6213.20 | 8.4382877e-05 ± 7.3782e-06     1000
   1048576           8591.45 | 1.2204880e-04 ± 1.9038e-06     1000
   2097152           7507.68 | 2.7933408e-04 ± 1.9862e-04       10
   4194304          10527.62 | 3.9840961e-04 ± 1.5311e-04       10
   8388608          11471.80 | 7.3123715e-04 ± 2.5090e-04       10
  16777216          11880.60 | 1.4121528e-03 ± 5.0335e-04       10
  33554432           5080.93 | 6.6040004e-03 ± 1.1433e-04       10
  67108864           5279.19 | 1.2711957e-02 ± 1.6193e-04       10
 134217728           5419.07 | 2.4767668e-02 ± 2.9511e-04       10
 268435456           5428.33 | 4.9450842e-02 ± 6.6890e-04       10
 536870912           4843.20 | 1.1085040e-01 ± 3.5757e-03       10
1073741824           4962.81 | 2.1635744e-01 ± 6.1275e-03       10
