# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
         1              0.02 | 4.3680347e-05 ± 6.3476e-06    10000
         2              0.05 | 4.3476496e-05 ± 2.1846e-06    10000
         4              0.09 | 4.3467326e-05 ± 2.1453e-06    10000
         8              0.19 | 4.3211912e-05 ± 4.9828e-06    10000
        16              0.37 | 4.3265166e-05 ± 2.0435e-06    10000
        32              0.74 | 4.3433596e-05 ± 3.1195e-06    10000
        64              1.48 | 4.3200170e-05 ± 2.1643e-06    10000
       128              2.94 | 4.3503277e-05 ± 3.4586e-06    10000
       256              5.87 | 4.3582813e-05 ± 2.2729e-06    10000
       512             11.68 | 4.3825447e-05 ± 2.0623e-06    10000
      1024             23.34 | 4.3876367e-05 ± 3.5709e-06    10000
      2048             46.37 | 4.4166257e-05 ± 2.0838e-06    10000
      4096             90.79 | 4.5115390e-05 ± 2.6282e-06    10000
      8192            177.29 | 4.6207783e-05 ± 2.9247e-06    10000
     16384            347.96 | 4.7086266e-05 ± 4.3614e-06    10000
     32768            666.43 | 4.9169404e-05 ± 4.2949e-06     1000
     65536           1252.85 | 5.2309645e-05 ± 4.5537e-06     1000
    131072           1990.46 | 6.5849998e-05 ± 2.0934e-06     1000
    262144           3319.44 | 7.8972274e-05 ± 2.1777e-06     1000
    524288           4994.01 | 1.0498346e-04 ± 7.6140e-06     1000
   1048576           6746.13 | 1.5543381e-04 ± 2.8733e-06     1000
   2097152           6476.16 | 3.2382668e-04 ± 1.0479e-04       10
   4194304           8245.94 | 5.0865080e-04 ± 6.0268e-05       10
   8388608           5678.23 | 1.4773271e-03 ± 5.8870e-05       10
  16777216           5870.15 | 2.8580546e-03 ± 1.0772e-04       10
  33554432           5023.44 | 6.6795695e-03 ± 2.4806e-05       10
  67108864           5233.51 | 1.2822913e-02 ± 4.3619e-05       10
 134217728           5298.84 | 2.5329638e-02 ± 1.9583e-04       10
 268435456           5383.10 | 4.9866336e-02 ± 1.7382e-04       10
 536870912           5431.59 | 9.8842246e-02 ± 7.6367e-05       10
1073741824           5444.02 | 1.9723310e-01 ± 1.8948e-04       10
