# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
         1              0.34 | 2.9839544e-06 ± 1.6134e-07    10000
         2              0.67 | 2.9953552e-06 ± 4.6622e-07    10000
         4              1.34 | 2.9887381e-06 ± 1.6439e-07    10000
         8              2.68 | 2.9875501e-06 ± 1.5506e-07    10000
        16              5.36 | 2.9836214e-06 ± 1.6252e-07    10000
        32             10.35 | 3.0908701e-06 ± 1.5328e-07    10000
        64             19.68 | 3.2524729e-06 ± 1.4774e-07    10000
       128             38.06 | 3.3626897e-06 ± 4.3712e-06    10000
       256             68.17 | 3.7554800e-06 ± 1.7168e-07    10000
       512            131.71 | 3.8874101e-06 ± 1.5445e-07    10000
      1024            251.47 | 4.0719897e-06 ± 1.5711e-07    10000
      2048            425.32 | 4.8152134e-06 ± 2.2023e-07    10000
      4096            743.02 | 5.5126652e-06 ± 2.8807e-07    10000
      8192           1290.71 | 6.3468957e-06 ± 2.2366e-07    10000
     16384           2098.32 | 7.8081616e-06 ± 1.5479e-06    10000
     32768           3178.93 | 1.0307857e-05 ± 4.7392e-07     1000
     65536           4923.52 | 1.3310796e-05 ± 3.6906e-07     1000
    131072           6682.24 | 1.9614986e-05 ± 4.2706e-06     1000
    262144           8242.42 | 3.1804245e-05 ± 6.9376e-07     1000
    524288           9336.63 | 5.6153885e-05 ± 9.5902e-07     1000
   1048576          10011.69 | 1.0473514e-04 ± 1.7881e-06     1000
   2097152          13260.68 | 1.5814811e-04 ± 1.2685e-06       10
   4194304          13660.19 | 3.0704578e-04 ± 6.2259e-07       10
   8388608          13848.72 | 6.0573176e-04 ± 1.2907e-06       10
  16777216          13920.30 | 1.2052342e-03 ± 5.0272e-06       10
  33554432          13955.68 | 2.4043559e-03 ± 8.2321e-06       10
  67108864          13932.18 | 4.8168246e-03 ± 1.7365e-05       10
 134217728          13848.55 | 9.6918226e-03 ± 3.8318e-05       10
 268435456          13760.43 | 1.9507778e-02 ± 7.2104e-05       10
 536870912          13607.60 | 3.9453750e-02 ± 2.6137e-04       10
1073741824          13523.32 | 7.9399256e-02 ± 6.0525e-04       10
