# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
         1              0.04 | 2.6134718e-05 ± 1.3686e-06    10000
         2              0.08 | 2.6118415e-05 ± 4.6086e-06    10000
         4              0.15 | 2.6003340e-05 ± 1.3707e-06    10000
         8              0.31 | 2.6051405e-05 ± 1.8170e-06    10000
        16              0.61 | 2.6061685e-05 ± 1.7172e-06    10000
        32              1.23 | 2.6036582e-05 ± 1.8269e-06    10000
        64              2.46 | 2.6054864e-05 ± 1.3820e-06    10000
       128              4.84 | 2.6467247e-05 ± 1.3479e-06    10000
       256              9.62 | 2.6603742e-05 ± 1.8293e-06    10000
       512             18.98 | 2.6981996e-05 ± 1.8741e-06    10000
      1024             37.47 | 2.7330750e-05 ± 1.3797e-06    10000
      2048             70.34 | 2.9116152e-05 ± 2.6817e-06    10000
      4096            136.60 | 2.9984881e-05 ± 3.2487e-06    10000
      8192            259.88 | 3.1522734e-05 ± 2.0444e-06    10000
     16384            497.00 | 3.2965715e-05 ± 2.9063e-06    10000
     32768            919.74 | 3.5627383e-05 ± 1.5076e-06     1000
     65536           1605.06 | 4.0830765e-05 ± 1.7450e-06     1000
    131072           2578.86 | 5.0825573e-05 ± 2.0092e-06     1000
    262144           3673.66 | 7.1357691e-05 ± 2.3374e-06     1000
    524288           4779.19 | 1.0970234e-04 ± 2.6613e-06     1000
   1048576           1333.40 | 7.8639228e-04 ± 1.5959e-05     1000
   2097152           1690.81 | 1.2403272e-03 ± 2.5018e-05       10
   4194304           1993.84 | 2.1036360e-03 ± 2.8894e-05       10
   8388608           1892.83 | 4.4317762e-03 ± 4.0217e-05       10
  16777216           1770.66 | 9.4751354e-03 ± 8.7650e-05       10
  33554432           1824.64 | 1.8389569e-02 ± 1.2175e-04       10
  67108864           1898.22 | 3.5353668e-02 ± 1.4175e-04       10
 134217728           1940.72 | 6.9158808e-02 ± 5.7593e-05       10
 268435456           1955.97 | 1.3723888e-01 ± 1.0415e-04       10
 536870912           1908.62 | 2.8128803e-01 ± 1.8730e-03       10
1073741824           1935.01 | 5.5490297e-01 ± 5.7980e-03       10
