# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
         1              0.03 | 3.6081273e-05 ± 2.0346e-06    10000
         2              0.06 | 3.6151526e-05 ± 4.2652e-06    10000
         4              0.11 | 3.6033383e-05 ± 4.7104e-06    10000
         8              0.22 | 3.6166467e-05 ± 2.4964e-06    10000
        16              0.44 | 3.6089521e-05 ± 1.9810e-06    10000
        32              0.89 | 3.6053594e-05 ± 1.9643e-06    10000
        64              1.76 | 3.6262930e-05 ± 2.5935e-06    10000
       128              3.52 | 3.6381793e-05 ± 2.0503e-06    10000
       256              7.06 | 3.6256915e-05 ± 1.9229e-06    10000
       512             13.91 | 3.6807029e-05 ± 2.3523e-06    10000
      1024             27.67 | 3.7001764e-05 ± 2.0708e-06    10000
      2048             54.23 | 3.7762501e-05 ± 2.8607e-06    10000
      4096            108.74 | 3.7666450e-05 ± 2.7912e-06    10000
      8192            215.31 | 3.8046988e-05 ± 2.0302e-06    10000
     16384            415.18 | 3.9462025e-05 ± 2.0846e-06    10000
     32768            790.31 | 4.1462004e-05 ± 2.2099e-06     1000
     65536           1471.38 | 4.4540593e-05 ± 2.0300e-06     1000
    131072           2580.73 | 5.0788685e-05 ± 1.8948e-06     1000
    262144           4142.23 | 6.3285642e-05 ± 2.4864e-06     1000
    524288           5981.91 | 8.7645543e-05 ± 5.0595e-06     1000
   1048576           7730.18 | 1.3564708e-04 ± 4.9349e-06     1000
   2097152           7927.98 | 2.6452534e-04 ± 9.7343e-05       10
   4194304           9933.84 | 4.2222402e-04 ± 1.9713e-04       10
   8388608          11501.42 | 7.2935396e-04 ± 2.4770e-04       10
  16777216          11891.97 | 1.4108023e-03 ± 4.9102e-04       10
  33554432           5093.91 | 6.5871677e-03 ± 9.3557e-05       10
  67108864           5310.29 | 1.2637518e-02 ± 1.6639e-04       10
 134217728           5440.18 | 2.4671571e-02 ± 2.7780e-04       10
 268435456           5434.65 | 4.9393333e-02 ± 4.1725e-04       10
 536870912           4989.18 | 1.0760713e-01 ± 2.0783e-03       10
1073741824           5029.64 | 2.1348267e-01 ± 5.2995e-03       10
