# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
         1              0.02 | 4.3395140e-05 ± 5.8937e-06    10000
         2              0.05 | 4.3328402e-05 ± 2.7042e-06    10000
         4              0.09 | 4.3293889e-05 ± 2.5392e-06    10000
         8              0.18 | 4.3380979e-05 ± 3.4577e-06    10000
        16              0.37 | 4.3347007e-05 ± 2.5812e-06    10000
        32              0.74 | 4.3434731e-05 ± 3.1459e-06    10000
        64              1.47 | 4.3474319e-05 ± 2.5623e-06    10000
       128              2.94 | 4.3478205e-05 ± 3.6475e-06    10000
       256              5.89 | 4.3461578e-05 ± 2.7137e-06    10000
       512             11.73 | 4.3633809e-05 ± 2.5263e-06    10000
      1024             23.40 | 4.3762457e-05 ± 3.6876e-06    10000
      2048             46.42 | 4.4121631e-05 ± 2.4459e-06    10000
      4096             91.08 | 4.4969751e-05 ± 2.9053e-06    10000
      8192            178.49 | 4.5895058e-05 ± 2.8476e-06    10000
     16384            350.99 | 4.6679732e-05 ± 4.5665e-06    10000
     32768            673.36 | 4.8663669e-05 ± 3.7997e-06     1000
     65536           1255.45 | 5.2201128e-05 ± 5.0362e-06     1000
    131072           2255.71 | 5.8106647e-05 ± 2.9349e-06     1000
    262144           3680.87 | 7.1217887e-05 ± 3.2132e-06     1000
    524288           5375.20 | 9.7538363e-05 ± 6.8580e-06     1000
   1048576           7102.96 | 1.4762520e-04 ± 3.8374e-06     1000
   2097152           6932.90 | 3.0249271e-04 ± 1.0954e-04       10
   4194304           8234.50 | 5.0935777e-04 ± 5.7513e-05       10
   8388608           5722.71 | 1.4658455e-03 ± 8.7788e-05       10
  16777216           5907.96 | 2.8397655e-03 ± 1.1633e-04       10
  33554432           5025.28 | 6.6771212e-03 ± 2.3094e-05       10
  67108864           5230.62 | 1.2829992e-02 ± 2.3236e-05       10
 134217728           5297.30 | 2.5337018e-02 ± 2.6964e-04       10
 268435456           5386.92 | 4.9830937e-02 ± 1.2345e-04       10
 536870912           5433.26 | 9.8811964e-02 ± 1.2154e-04       10
1073741824           5447.95 | 1.9709104e-01 ± 9.9349e-05       10
