# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
         1              0.42 | 2.3798547e-06 ± 2.3913e-07    10000
         2              0.88 | 2.2836429e-06 ± 1.2987e-07    10000
         4              1.76 | 2.2768512e-06 ± 1.4324e-07    10000
         8              3.50 | 2.2861268e-06 ± 1.7467e-07    10000
        16              7.01 | 2.2811720e-06 ± 1.5826e-07    10000
        32             12.71 | 2.5175799e-06 ± 1.7357e-07    10000
        64             24.48 | 2.6146560e-06 ± 1.7454e-07    10000
       128             47.97 | 2.6683611e-06 ± 1.7677e-07    10000
       256             82.59 | 3.0995718e-06 ± 1.6115e-07    10000
       512            156.96 | 3.2620521e-06 ± 1.5656e-07    10000
      1024            288.51 | 3.5492701e-06 ± 1.2121e-05    10000
      2048            517.83 | 3.9549978e-06 ± 1.8507e-07    10000
      4096            975.06 | 4.2007879e-06 ± 3.1136e-07    10000
      8192           1807.59 | 4.5319913e-06 ± 2.8627e-07    10000
     16384           2812.47 | 5.8254892e-06 ± 2.9124e-07    10000
     32768           3771.26 | 8.6888690e-06 ± 3.9585e-07     1000
     65536           6476.93 | 1.0118381e-05 ± 2.9682e-07     1000
    131072           9732.35 | 1.3467656e-05 ± 2.8125e-07     1000
    262144          12910.98 | 2.0303952e-05 ± 1.3462e-06     1000
    524288          17124.61 | 3.0616059e-05 ± 3.1256e-07     1000
   1048576          19165.09 | 5.4712806e-05 ± 2.5283e-06     1000
   2097152          16483.32 | 1.2722875e-04 ± 1.9167e-06       10
   4194304          17048.15 | 2.4602695e-04 ± 1.6452e-06       10
   8388608          17127.45 | 4.8977575e-04 ± 2.4635e-05       10
  16777216          22054.64 | 7.6071142e-04 ± 1.2131e-05       10
  33554432          22028.65 | 1.5232179e-03 ± 5.7620e-05       10
  67108864          22041.42 | 3.0446712e-03 ± 1.1658e-04       10
 134217728          22125.12 | 6.0663062e-03 ± 2.2783e-04       10
 268435456          22089.32 | 1.2152274e-02 ± 4.9941e-04       10
 536870912          20476.20 | 2.6219266e-02 ± 9.0400e-04       10
1073741824          18146.55 | 5.9170588e-02 ± 3.1781e-04       10
