# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
         1              0.04 | 2.5935766e-05 ± 1.9608e-06    10000
         2              0.08 | 2.5770934e-05 ± 1.8486e-06    10000
         4              0.16 | 2.5671190e-05 ± 1.8853e-06    10000
         8              0.31 | 2.5913989e-05 ± 5.2252e-06    10000
        16              0.62 | 2.5670704e-05 ± 1.8499e-06    10000
        32              1.25 | 2.5599814e-05 ± 1.8778e-06    10000
        64              2.49 | 2.5691302e-05 ± 2.9674e-06    10000
       128              4.90 | 2.6129962e-05 ± 1.7998e-06    10000
       256              9.68 | 2.6437413e-05 ± 1.9267e-06    10000
       512             19.19 | 2.6685297e-05 ± 1.9197e-06    10000
      1024             37.93 | 2.6998677e-05 ± 1.8932e-06    10000
      2048             70.79 | 2.8930632e-05 ± 4.1385e-06    10000
      4096            138.05 | 2.9671147e-05 ± 2.8151e-06    10000
      8192            260.85 | 3.1404434e-05 ± 2.2524e-06    10000
     16384            499.62 | 3.2792709e-05 ± 2.3953e-06    10000
     32768            846.34 | 3.8717272e-05 ± 3.0129e-06     1000
     65536           1476.21 | 4.4394667e-05 ± 2.3794e-06     1000
    131072           2377.29 | 5.5135026e-05 ± 2.3320e-06     1000
    262144           3395.79 | 7.7196781e-05 ± 3.8801e-06     1000
    524288           4395.17 | 1.1928717e-04 ± 3.4469e-06     1000
   1048576           1035.52 | 1.0126130e-03 ± 1.5373e-05     1000
   2097152           1284.47 | 1.6327035e-03 ± 1.5018e-05       10
   4194304           1336.92 | 3.1372849e-03 ± 2.8716e-05       10
   8388608           1552.47 | 5.4033788e-03 ± 1.7231e-05       10
  16777216           1619.44 | 1.0359914e-02 ± 3.8720e-05       10
  33554432           1794.53 | 1.8698218e-02 ± 3.4015e-05       10
  67108864           1878.94 | 3.5716354e-02 ± 3.9149e-05       10
 134217728           1938.71 | 6.9230253e-02 ± 1.4723e-04       10
 268435456           1957.13 | 1.3715751e-01 ± 1.4970e-04       10
 536870912           1946.47 | 2.7581721e-01 ± 6.3459e-04       10
1073741824           1961.25 | 5.4747909e-01 ± 4.7493e-03       10
