# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
         1              0.05 | 2.1962523e-05 ± 1.3872e-06    10000
         2              0.09 | 2.1904264e-05 ± 1.0053e-05    10000
         4              0.18 | 2.1826143e-05 ± 2.3743e-06    10000
         8              0.37 | 2.1591665e-05 ± 7.0771e-07    10000
        16              0.73 | 2.1999551e-05 ± 8.8370e-06    10000
        32              1.43 | 2.2316765e-05 ± 1.4751e-06    10000
        64              2.86 | 2.2358454e-05 ± 4.0599e-06    10000
       128              5.78 | 2.2150930e-05 ± 1.4612e-06    10000
       256             11.42 | 2.2424005e-05 ± 1.4463e-06    10000
       512             22.81 | 2.2449454e-05 ± 1.4024e-06    10000
      1024             45.18 | 2.2663428e-05 ± 1.4483e-06    10000
      2048             86.63 | 2.3639915e-05 ± 4.6406e-06    10000
      4096            170.05 | 2.4086724e-05 ± 1.7557e-06    10000
      8192            332.39 | 2.4646041e-05 ± 1.6659e-06    10000
     16384            630.70 | 2.5977394e-05 ± 1.7553e-06    10000
     32768           1037.63 | 3.1579582e-05 ± 1.8073e-06     1000
     65536           1970.02 | 3.3266592e-05 ± 1.7189e-06     1000
    131072           3505.65 | 3.7388808e-05 ± 1.7537e-06     1000
    262144           5771.59 | 4.5419727e-05 ± 1.7394e-06     1000
    524288           8697.31 | 6.0281639e-05 ± 1.7956e-06     1000
   1048576          11523.31 | 9.0996056e-05 ± 1.6253e-06     1000
   2097152           7059.20 | 2.9708075e-04 ± 4.4808e-04       10
   4194304           9409.81 | 4.4573761e-04 ± 5.3018e-04       10
   8388608          11272.27 | 7.4418074e-04 ± 7.1605e-04       10
  16777216          13312.31 | 1.2602788e-03 ± 1.0968e-03       10
  33554432           4506.92 | 7.4450948e-03 ± 2.0933e-04       10
  67108864           5048.45 | 1.3292962e-02 ± 3.7487e-04       10
 134217728           5367.42 | 2.5005983e-02 ± 8.0920e-04       10
 268435456           5577.17 | 4.8131127e-02 ± 3.5389e-04       10
 536870912           5475.10 | 9.8056792e-02 ± 1.5261e-03       10
1073741824           5535.32 | 1.9397993e-01 ± 2.9884e-03       10
