# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
         1              0.02 | 4.3465184e-05 ± 3.2836e-06    10000
         2              0.05 | 4.3646415e-05 ± 5.9714e-06    10000
         4              0.09 | 4.3533837e-05 ± 3.0096e-06    10000
         8              0.18 | 4.3544396e-05 ± 3.0534e-06    10000
        16              0.37 | 4.3558245e-05 ± 4.2200e-06    10000
        32              0.74 | 4.3452246e-05 ± 3.0058e-06    10000
        64              1.47 | 4.3582265e-05 ± 4.0751e-06    10000
       128              2.95 | 4.3369086e-05 ± 3.2520e-06    10000
       256              5.88 | 4.3541096e-05 ± 2.9685e-06    10000
       512             11.70 | 4.3767428e-05 ± 3.2404e-06    10000
      1024             23.33 | 4.3898310e-05 ± 4.0543e-06    10000
      2048             46.45 | 4.4087742e-05 ± 3.0488e-06    10000
      4096             90.36 | 4.5332280e-05 ± 3.3017e-06    10000
      8192            177.08 | 4.6261861e-05 ± 3.5981e-06    10000
     16384            348.46 | 4.7017979e-05 ± 3.6500e-06    10000
     32768            592.13 | 5.5339575e-05 ± 3.1290e-06     1000
     65536           1102.19 | 5.9459982e-05 ± 1.0968e-05     1000
    131072           1959.62 | 6.6886348e-05 ± 3.1027e-06     1000
    262144           3243.71 | 8.0816177e-05 ± 4.4044e-06     1000
    524288           4799.10 | 1.0924713e-04 ± 4.1346e-06     1000
   1048576           6309.32 | 1.6619467e-04 ± 3.6558e-06     1000
   2097152           6615.94 | 3.1698490e-04 ± 9.6736e-05       10
   4194304           4040.70 | 1.0380149e-03 ± 9.1525e-05       10
   8388608           3986.51 | 2.1042481e-03 ± 1.1042e-04       10
  16777216           4395.90 | 3.8165597e-03 ± 2.1166e-04       10
  33554432           4292.92 | 7.8162272e-03 ± 1.0142e-05       10
  67108864           4441.82 | 1.5108416e-02 ± 2.3232e-05       10
 134217728           4504.55 | 2.9796023e-02 ± 3.4235e-05       10
 268435456           4550.47 | 5.8990675e-02 ± 5.6452e-05       10
 536870912           4565.41 | 1.1759533e-01 ± 1.0469e-04       10
1073741824           4574.19 | 2.3473902e-01 ± 8.4271e-05       10
