# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
         1              0.33 | 2.9941476e-06 ± 1.5977e-07    10000
         2              0.67 | 2.9955474e-06 ± 1.4560e-07    10000
         4              1.34 | 2.9837780e-06 ± 1.3785e-07    10000
         8              2.68 | 2.9875706e-06 ± 1.8894e-07    10000
        16              5.35 | 2.9933069e-06 ± 1.1684e-07    10000
        32             10.38 | 3.0827137e-06 ± 1.2865e-07    10000
        64             19.64 | 3.2594025e-06 ± 1.3803e-07    10000
       128             38.26 | 3.3455660e-06 ± 4.6549e-06    10000
       256             68.36 | 3.7449751e-06 ± 1.9803e-07    10000
       512            133.28 | 3.8414767e-06 ± 1.3223e-07    10000
      1024            252.98 | 4.0478175e-06 ± 1.3794e-07    10000
      2048            425.80 | 4.8097733e-06 ± 2.1476e-07    10000
      4096            746.41 | 5.4876298e-06 ± 1.8759e-07    10000
      8192           1304.80 | 6.2783743e-06 ± 2.2701e-07    10000
     16384           2122.95 | 7.7175449e-06 ± 1.3939e-06    10000
     32768           3029.36 | 1.0816799e-05 ± 5.3826e-07     1000
     65536           4809.75 | 1.3625666e-05 ± 3.9291e-07     1000
    131072           7184.56 | 1.8243556e-05 ± 4.2482e-06     1000
    262144           9673.95 | 2.7097936e-05 ± 4.1326e-07     1000
    524288          11292.15 | 4.6429441e-05 ± 3.7290e-07     1000
   1048576          12377.27 | 8.4717861e-05 ± 4.6556e-07     1000
   2097152          13264.01 | 1.5810843e-04 ± 1.0979e-06       10
   4194304          13661.22 | 3.0702258e-04 ± 7.4304e-07       10
   8388608          13849.67 | 6.0569000e-04 ± 9.6327e-07       10
  16777216          13926.06 | 1.2047355e-03 ± 5.4011e-06       10
  33554432          13937.70 | 2.4074586e-03 ± 1.1516e-05       10
  67108864          13945.05 | 4.8123805e-03 ± 1.9466e-05       10
 134217728          13894.90 | 9.6594966e-03 ± 4.6258e-05       10
 268435456          13735.16 | 1.9543673e-02 ± 9.8849e-05       10
 536870912          13614.09 | 3.9434934e-02 ± 1.8160e-04       10
1073741824          13496.84 | 7.9555043e-02 ± 4.7301e-04       10
