# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
         1              0.04 | 2.6052728e-05 ± 1.3387e-06    10000
         2              0.08 | 2.6101362e-05 ± 4.5083e-06    10000
         4              0.15 | 2.6220769e-05 ± 1.4558e-06    10000
         8              0.31 | 2.6198575e-05 ± 1.7797e-06    10000
        16              0.61 | 2.6021812e-05 ± 1.7393e-06    10000
        32              1.22 | 2.6150120e-05 ± 1.7509e-06    10000
        64              2.44 | 2.6234955e-05 ± 1.4180e-06    10000
       128              4.80 | 2.6679250e-05 ± 1.3472e-06    10000
       256              9.55 | 2.6792280e-05 ± 3.2723e-06    10000
       512             18.99 | 2.6967662e-05 ± 1.9853e-06    10000
      1024             37.35 | 2.7413648e-05 ± 1.4844e-06    10000
      2048             69.99 | 2.9263296e-05 ± 2.9487e-06    10000
      4096            135.24 | 3.0287717e-05 ± 3.2749e-06    10000
      8192            258.69 | 3.1667547e-05 ± 2.2822e-06    10000
     16384            490.26 | 3.3418794e-05 ± 3.7130e-06    10000
     32768            804.36 | 4.0738115e-05 ± 1.9107e-06     1000
     65536           1426.92 | 4.5928210e-05 ± 1.5495e-06     1000
    131072           2341.74 | 5.5972117e-05 ± 1.7554e-06     1000
    262144           3436.02 | 7.6292971e-05 ± 1.9909e-06     1000
    524288           4485.23 | 1.1689209e-04 ± 1.9151e-06     1000
   1048576           1050.96 | 9.9772980e-04 ± 1.3642e-05     1000
   2097152           1222.70 | 1.7151802e-03 ± 1.8687e-05       10
   4194304           1825.83 | 2.2972048e-03 ± 3.1431e-05       10
   8388608           1803.44 | 4.6514394e-03 ± 1.5886e-05       10
  16777216           1739.71 | 9.6436613e-03 ± 1.0222e-04       10
  33554432           1825.35 | 1.8382452e-02 ± 1.5722e-04       10
  67108864           1899.49 | 3.5329920e-02 ± 1.1122e-04       10
 134217728           1937.85 | 6.9261222e-02 ± 1.4280e-04       10
 268435456           1959.28 | 1.3700740e-01 ± 2.9424e-04       10
 536870912           1915.41 | 2.8028961e-01 ± 1.0496e-03       10
1073741824           1940.49 | 5.5333620e-01 ± 8.7312e-03       10
