# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
         1              0.03 | 3.5998452e-05 ± 1.9661e-06    10000
         2              0.06 | 3.6057139e-05 ± 5.0504e-06    10000
         4              0.11 | 3.5895642e-05 ± 2.2905e-06    10000
         8              0.22 | 3.6059879e-05 ± 2.3306e-06    10000
        16              0.44 | 3.6108292e-05 ± 2.2136e-06    10000
        32              0.89 | 3.5927715e-05 ± 1.9304e-06    10000
        64              1.77 | 3.6068412e-05 ± 2.1909e-06    10000
       128              3.53 | 3.6269329e-05 ± 1.9804e-06    10000
       256              7.07 | 3.6229133e-05 ± 1.9125e-06    10000
       512             13.94 | 3.6732322e-05 ± 3.5119e-06    10000
      1024             27.84 | 3.6783759e-05 ± 1.9299e-06    10000
      2048             55.19 | 3.7109286e-05 ± 2.6490e-06    10000
      4096            110.11 | 3.7199913e-05 ± 2.9709e-06    10000
      8192            218.20 | 3.7544274e-05 ± 2.1180e-06    10000
     16384            418.49 | 3.9150520e-05 ± 2.1095e-06    10000
     32768            655.80 | 4.9966536e-05 ± 8.1559e-06     1000
     65536           1268.32 | 5.1671372e-05 ± 2.2954e-06     1000
    131072           2362.83 | 5.5472539e-05 ± 1.8478e-06     1000
    262144           4075.67 | 6.4319232e-05 ± 2.0859e-06     1000
    524288           6245.47 | 8.3946882e-05 ± 7.4140e-06     1000
   1048576           8628.54 | 1.2152410e-04 ± 1.6948e-06     1000
   2097152           7651.61 | 2.7407974e-04 ± 1.8548e-04       10
   4194304          10501.50 | 3.9940052e-04 ± 1.5402e-04       10
   8388608          11489.87 | 7.3008743e-04 ± 2.4944e-04       10
  16777216          11893.87 | 1.4105764e-03 ± 4.9488e-04       10
  33554432           5085.62 | 6.5979065e-03 ± 1.2158e-04       10
  67108864           5333.54 | 1.2582425e-02 ± 1.6100e-04       10
 134217728           5467.88 | 2.4546574e-02 ± 2.3056e-04       10
 268435456           5494.42 | 4.8856029e-02 ± 5.4609e-04       10
 536870912           4992.57 | 1.0753397e-01 ± 1.9970e-03       10
1073741824           4982.00 | 2.1552409e-01 ± 4.3927e-03       10
