# MPI PingPong Test
# Size [B]  Bandwidth [MB/s] | Time Mean [s] ± StdDev [s]  Samples
         1              0.02 | 4.3254713e-05 ± 5.7589e-06    10000
         2              0.05 | 4.3597071e-05 ± 2.2430e-06    10000
         4              0.09 | 4.3520885e-05 ± 2.1490e-06    10000
         8              0.18 | 4.3482173e-05 ± 3.1868e-06    10000
        16              0.37 | 4.3544643e-05 ± 2.1894e-06    10000
        32              0.73 | 4.3666522e-05 ± 2.9313e-06    10000
        64              1.47 | 4.3564534e-05 ± 2.2296e-06    10000
       128              2.94 | 4.3506273e-05 ± 3.0778e-06    10000
       256              5.89 | 4.3426736e-05 ± 2.4036e-06    10000
       512             11.72 | 4.3702211e-05 ± 2.1918e-06    10000
      1024             23.36 | 4.3839399e-05 ± 3.7926e-06    10000
      2048             46.07 | 4.4452779e-05 ± 2.2272e-06    10000
      4096             91.01 | 4.5006704e-05 ± 2.8131e-06    10000
      8192            177.91 | 4.6044694e-05 ± 2.8642e-06    10000
     16384            348.19 | 4.7055314e-05 ± 4.3600e-06    10000
     32768            588.37 | 5.5692917e-05 ± 2.2635e-06     1000
     65536           1097.99 | 5.9687289e-05 ± 3.4323e-06     1000
    131072           1990.46 | 6.5850208e-05 ± 2.5008e-06     1000
    262144           3319.57 | 7.8969305e-05 ± 3.0232e-06     1000
    524288           4984.86 | 1.0517607e-04 ± 7.2867e-06     1000
   1048576           6747.82 | 1.5539475e-04 ± 4.7125e-06     1000
   2097152           6561.88 | 3.1959603e-04 ± 1.4031e-04       10
   4194304           8149.15 | 5.1469191e-04 ± 5.9996e-05       10
   8388608           5658.29 | 1.4825338e-03 ± 6.9815e-05       10
  16777216           5909.07 | 2.8392320e-03 ± 1.2263e-04       10
  33554432           5019.91 | 6.6842686e-03 ± 1.2628e-05       10
  67108864           5221.73 | 1.2851840e-02 ± 4.8269e-05       10
 134217728           5325.56 | 2.5202534e-02 ± 2.0797e-04       10
 268435456           5400.52 | 4.9705468e-02 ± 1.3767e-04       10
 536870912           5444.42 | 9.8609336e-02 ± 9.5870e-05       10
1073741824           5452.53 | 1.9692554e-01 ± 1.1179e-04       10
